year,sex,marital_status,age,outside_labour_force
1994,female,widowed_divorced,25-29,200
1994,female,widowed_divorced,30-34,200
1994,female,widowed_divorced,35-39,500
1994,female,widowed_divorced,40-44,1200
1994,female,widowed_divorced,45-49,2400
1994,female,widowed_divorced,50-54,6400
1994,female,widowed_divorced,55-59,10600
1994,female,widowed_divorced,60-64,15000
1994,female,widowed_divorced,65-69,17600
1994,female,widowed_divorced,70_and_over,44900
1996,male,single,15-19,88100
1996,male,single,20-24,28600
1996,male,single,25-29,3700
1996,male,single,30-34,2000
1996,male,single,35-39,1900
1996,male,single,40-44,1100
1996,male,single,45-49,1300
1996,male,single,50-54,800
1996,male,single,55-59,900
1996,male,single,60-64,1500
1996,male,single,65-69,1000
1996,male,single,70_and_over,1200
1996,male,married,15-19,200
1996,male,married,20-24,-
1996,male,married,25-29,300
1996,male,married,30-34,400
1996,male,married,35-39,700
1996,male,married,40-44,1300
1996,male,married,45-49,2400
1996,male,married,50-54,4500
1996,male,married,55-59,12400
1996,male,married,60-64,20700
1996,male,married,65-69,20400
1996,male,married,70_and_over,34400
1996,male,widowed_divorced,15-19,-
1996,male,widowed_divorced,20-24,-
1996,male,widowed_divorced,25-29,-
1996,male,widowed_divorced,30-34,100
1996,male,widowed_divorced,35-39,100
1996,male,widowed_divorced,40-44,100
1996,male,widowed_divorced,45-49,-
1996,male,widowed_divorced,50-54,400
1996,male,widowed_divorced,55-59,1100
1996,male,widowed_divorced,60-64,1900
1996,male,widowed_divorced,65-69,3300
1996,male,widowed_divorced,70_and_over,11400
1996,female,single,15-19,86400
1996,female,single,20-24,22200
1996,female,single,25-29,2000
1996,female,single,30-34,1900
1996,female,single,35-39,2500
1996,female,single,40-44,2100
1996,female,single,45-49,1900
1996,female,single,50-54,1200
1996,female,single,55-59,1500
1996,female,single,60-64,1200
1996,female,single,65-69,1100
1996,female,single,70_and_over,1000
1996,female,married,15-19,700
1996,female,married,20-24,5900
1996,female,married,25-29,24400
1996,female,married,30-34,49000
1996,female,married,35-39,57600
1996,female,married,40-44,57100
1996,female,married,45-49,48000
1996,female,married,50-54,30500
1996,female,married,55-59,34800
1996,female,married,60-64,27000
1996,female,married,65-69,18700
1996,female,married,70_and_over,17500
1996,female,widowed_divorced,15-19,-
1996,female,widowed_divorced,20-24,-
1996,female,widowed_divorced,25-29,200
1996,female,widowed_divorced,30-34,300
1996,female,widowed_divorced,35-39,1000
1996,female,widowed_divorced,40-44,1000
1996,female,widowed_divorced,45-49,2800
1996,female,widowed_divorced,50-54,4400
1996,female,widowed_divorced,55-59,9600
1996,female,widowed_divorced,60-64,13100
1996,female,widowed_divorced,65-69,17900
1996,female,widowed_divorced,70_and_over,50900
1997,male,single,15-19,91700
1997,male,single,20-24,32400
1997,male,single,25-29,5600
1997,male,single,30-34,1800
1997,male,single,35-39,1800
